,Params,train_validation_results,test_results
0,"(0.03, 2)","{'loss': [0.41910845041275024, 0.04371276870369911], 'accuracy': [0.8848314881324768, 0.9845505356788635], 'f1_metric': [0.7887133955955505, 0.9724799394607544], 'recall_metric': [0.8189549446105957, 0.9749022722244263], 'precision_metric': [0.7961219549179077, 0.974544882774353], 'val_loss': [0.09942124783992767, 0.07374528050422668], 'val_accuracy': [0.9789915680885315, 0.9789915680885315], 'val_f1_metric': [0.9640359878540039, 0.9585504531860352], 'val_recall_metric': [0.9633763432502747, 0.9558531641960144], 'val_precision_metric': [0.9712542295455933, 0.9729903340339661]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
1,"(0.03, 3)","{'loss': [0.7568016648292542, 0.18895646929740906, 0.038627345114946365], 'accuracy': [0.9002808928489685, 0.9691011309623718, 0.9873595237731934], 'f1_metric': [0.777737021446228, 0.9363619089126587, 0.9742976427078247], 'recall_metric': [0.8221696019172668, 0.9391994476318359, 0.9783874154090881], 'precision_metric': [0.8042912483215332, 0.9564001560211182, 0.9768633842468262], 'val_loss': [0.18350288271903992, 0.15460409224033356, 0.07371557503938675], 'val_accuracy': [0.9621848464012146, 0.9789915680885315, 0.9915966391563416], 'val_f1_metric': [0.8852359056472778, 0.9553036689758301, 0.9828664660453796], 'val_recall_metric': [0.8724536895751953, 0.949999988079071, 0.9791666865348816], 'val_precision_metric': [0.9110689759254456, 0.9777778387069702, 0.9901620149612427]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
2,"(0.03, 4)","{'loss': [0.7496842741966248, 0.08531656861305237, 0.015880433842539787, 0.05549956485629082], 'accuracy': [0.8778089880943298, 0.9817415475845337, 0.992977499961853, 0.983146071434021], 'f1_metric': [0.7617838382720947, 0.9655666947364807, 0.9716591238975525, 0.9663360714912415], 'recall_metric': [0.795489490032196, 0.9724062085151672, 0.9700943231582642, 0.9714228510856628], 'precision_metric': [0.76231449842453, 0.9670024514198303, 0.9747238755226135, 0.9758453965187073], 'val_loss': [0.15487994253635406, 0.06883586198091507, 0.09012067317962646, 0.14414197206497192], 'val_accuracy': [0.9747899174690247, 0.9831932783126831, 0.9873949289321899, 0.9789915680885315], 'val_f1_metric': [0.9551021456718445, 0.9692647457122803, 0.9727513194084167, 0.9551156759262085], 'val_recall_metric': [0.953224241733551, 0.9662697911262512, 0.9687500596046448, 0.9479166865348816], 'val_precision_metric': [0.965509295463562, 0.9781986474990845, 0.9864583015441895, 0.979356050491333]}","(0.8338557993730408, 0.8044444444444444, 0.9063322884012539, 0.8338557993730408, 0.730571016285302, 0.8338557993730408, 0.8338557993730408, 0.6633247714530339, 0.8099852182240519, 0.8338557993730408)"
3,"(0.03, 5)","{'loss': [0.5118364691734314, 0.1668696403503418, 0.03439346328377724, 0.009148772805929184, 0.010414020158350468], 'accuracy': [0.9002808928489685, 0.9691011309623718, 0.992977499961853, 0.9971910119056702, 0.9957864880561829], 'f1_metric': [0.8253417015075684, 0.9425033926963806, 0.9867172241210938, 0.9941492676734924, 0.99088454246521], 'recall_metric': [0.8491311073303223, 0.9447809457778931, 0.9866600632667542, 0.9947665929794312, 0.9905796647071838], 'precision_metric': [0.8392097353935242, 0.9602351188659668, 0.9907516837120056, 0.99468594789505, 0.9938808083534241], 'val_loss': [0.09786100685596466, 0.060936734080314636, 0.08611853420734406, 0.11504223197698593, 0.0675293579697609], 'val_accuracy': [0.9789915680885315, 0.9915966391563416, 0.9873949289321899, 0.9789915680885315, 0.9831932783126831], 'val_f1_metric': [0.9563822746276855, 0.9828664660453796, 0.9727513194084167, 0.955561637878418, 0.967782735824585], 'val_recall_metric': [0.9523809552192688, 0.9791666865348816, 0.9687500596046448, 0.949999988079071, 0.9662697911262512], 'val_precision_metric': [0.970089316368103, 0.9901620149612427, 0.9864583015441895, 0.9782407283782959, 0.9754630327224731]}","(0.8244514106583072, 0.8222222222222223, 0.9180773249738767, 0.8244514106583072, 0.7171717171717171, 0.8244514106583072, 0.8244514106583072, 0.6331738437001595, 0.7916935399199052, 0.8244514106583072)"
4,"(0.03, 6)","{'loss': [1.1362205743789673, 0.18102949857711792, 0.08993376791477203, 0.03505723550915718, 0.0058255502954125404, 0.0002360453800065443], 'accuracy': [0.851123571395874, 0.9648876190185547, 0.983146071434021, 0.9915730357170105, 0.9985954761505127, 1.0], 'f1_metric': [0.7182807922363281, 0.9233806729316711, 0.9561178684234619, 0.9816655516624451, 0.997072160243988, 1.0], 'recall_metric': [0.7727910876274109, 0.9348785281181335, 0.9566487073898315, 0.9893720149993896, 0.9971014857292175, 1.0], 'precision_metric': [0.7176589965820312, 0.9360923767089844, 0.9701282382011414, 0.9828722476959229, 0.9975845217704773, 1.0], 'val_loss': [0.20644207298755646, 0.07656990736722946, 0.14256729185581207, 0.07964420318603516, 0.0721311941742897, 0.08057582378387451], 'val_accuracy': [0.9621848464012146, 0.9873949289321899, 0.9789915680885315, 0.9915966391563416, 0.9957982897758484, 0.9873949289321899], 'val_f1_metric': [0.8767879009246826, 0.9753584861755371, 0.9551156759262085, 0.9828664660453796, 0.9915966391563416, 0.972499430179596], 'val_recall_metric': [0.8635417222976685, 0.9732142686843872, 0.9479166865348816, 0.9791666865348816, 0.9895833134651184, 0.9687499403953552], 'val_precision_metric': [0.9184027314186096, 0.9824074506759644, 0.979356050491333, 0.9901620149612427, 0.9953703880310059, 0.9861111640930176]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
5,"(0.03, 7)","{'loss': [1.3435474634170532, 0.19870290160179138, 0.0578182153403759, 0.023957259953022003, 0.006231867708265781, 0.008812332525849342, 0.007607882842421532], 'accuracy': [0.834269642829895, 0.9691011309623718, 0.9887640476226807, 0.9943820238113403, 0.9985954761505127, 0.9985954761505127, 0.9971910119056702], 'f1_metric': [0.6911875009536743, 0.9282230734825134, 0.9779067039489746, 0.990011990070343, 0.997423529624939, 0.9979190230369568, 0.9950098991394043], 'recall_metric': [0.7497876286506653, 0.940793514251709, 0.9801639914512634, 0.9905452728271484, 0.9981883764266968, 0.9979296326637268, 0.9966120719909668], 'precision_metric': [0.6984006762504578, 0.9299423098564148, 0.9802966713905334, 0.9917070269584656, 0.9971014857292175, 0.9981883764266968, 0.9943065047264099], 'val_loss': [0.4321674108505249, 0.1274164766073227, 0.07457976043224335, 0.14793716371059418, 0.15632961690425873, 0.06638307869434357, 0.08115462213754654], 'val_accuracy': [0.9411764740943909, 0.9789915680885315, 0.9957982897758484, 0.9663865566253662, 0.9831932783126831, 0.9915966391563416, 0.9915966391563416], 'val_f1_metric': [0.9015066623687744, 0.9634673595428467, 0.9915966391563416, 0.9400545954704285, 0.9652308225631714, 0.9831932783126831, 0.9846752285957336], 'val_recall_metric': [0.9068452715873718, 0.9589120149612427, 0.9895833134651184, 0.9442790746688843, 0.9583333134651184, 0.9791666269302368, 0.9791666865348816], 'val_precision_metric': [0.9082747101783752, 0.9749579429626465, 0.9953703880310059, 0.9456183910369873, 0.9830597639083862, 0.9907407760620117, 0.9934764504432678]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
6,"(0.03, 8)","{'loss': [0.8872130513191223, 0.125214621424675, 0.10379739105701447, 0.02927403151988983, 0.029245072975754738, 0.00957385916262865, 0.0009884204482659698, 0.00038849454722367227], 'accuracy': [0.8904494643211365, 0.976123571395874, 0.9803370833396912, 0.9901685118675232, 0.9915730357170105, 0.9971910119056702, 1.0, 1.0], 'f1_metric': [0.7552745938301086, 0.9433907866477966, 0.9651899933815002, 0.9823375344276428, 0.986421525478363, 0.9937029480934143, 1.0, 1.0], 'recall_metric': [0.7976964116096497, 0.9441134333610535, 0.9671670794487, 0.982326865196228, 0.9861974120140076, 0.9933575391769409, 1.0, 1.0], 'precision_metric': [0.7708796858787537, 0.948993444442749, 0.9729296565055847, 0.9856008291244507, 0.9895892143249512, 0.9955141544342041, 1.0, 1.0], 'val_loss': [0.30240175127983093, 0.14127177000045776, 0.14228056371212006, 0.14353816211223602, 0.12820513546466827, 0.07496289908885956, 0.07494691014289856, 0.07363498955965042], 'val_accuracy': [0.9579831957817078, 0.970588207244873, 0.9789915680885315, 0.9831932783126831, 0.9789915680885315, 0.9873949289321899, 0.9873949289321899, 0.9915966391563416], 'val_f1_metric': [0.868949294090271, 0.9480568766593933, 0.9551156759262085, 0.9638458490371704, 0.955561637878418, 0.9752907156944275, 0.9752907156944275, 0.9840208888053894], 'val_recall_metric': [0.8531250357627869, 0.9460151791572571, 0.9479166865348816, 0.9583333134651184, 0.949999988079071, 0.9722222089767456, 0.9722222089767456, 0.9826388955116272], 'val_precision_metric': [0.9184824824333191, 0.9596801996231079, 0.979356050491333, 0.9845644235610962, 0.9782407283782959, 0.9832175970077515, 0.9832175970077515, 0.9884259700775146]}","(0.8307210031347962, 0.825242718446602, 0.9194692150835438, 0.8307210031347962, 0.7272727272727272, 0.8307210031347962, 0.8307210031347964, 0.6508097165991903, 0.8021937227926339, 0.8307210031347962)"
0,"(0.01, 2)","{'loss': [0.2471582591533661, 0.04773751273751259], 'accuracy': [0.9002808928489685, 0.9845505356788635], 'f1_metric': [0.8041943907737732, 0.9735268950462341], 'recall_metric': [0.8357982039451599, 0.9791136384010315], 'precision_metric': [0.8245975375175476, 0.9728716015815735], 'val_loss': [0.1406640261411667, 0.05613052472472191], 'val_accuracy': [0.9579831957817078, 0.9747899174690247], 'val_f1_metric': [0.9359479546546936, 0.9598621129989624], 'val_recall_metric': [0.9511483907699585, 0.9661045074462891], 'val_precision_metric': [0.9360119104385376, 0.9615740776062012]}","(0.8307210031347962, 0.825242718446602, 0.9194692150835438, 0.8307210031347962, 0.7272727272727272, 0.8307210031347962, 0.8307210031347964, 0.6508097165991903, 0.8021937227926339, 0.8307210031347962)"
1,"(0.01, 3)","{'loss': [0.1954389065504074, 0.03164922818541527, 0.019700193777680397], 'accuracy': [0.9073033928871155, 0.9873595237731934, 0.9957864880561829], 'f1_metric': [0.8329936861991882, 0.976097583770752, 0.9918058514595032], 'recall_metric': [0.8518950343132019, 0.9810042381286621, 0.9940475821495056], 'precision_metric': [0.8528385162353516, 0.9774383902549744, 0.9910628199577332], 'val_loss': [0.07748719304800034, 0.03845975548028946, 0.056741468608379364], 'val_accuracy': [0.9747899174690247, 0.9831932783126831, 0.9831932783126831], 'val_f1_metric': [0.9599050879478455, 0.9701846241950989, 0.9733325839042664], 'val_recall_metric': [0.9647817611694336, 0.9730489253997803, 0.9824735522270203], 'val_precision_metric': [0.9625000357627869, 0.9740740656852722, 0.9704861044883728]}","(0.8244514106583072, 0.8222222222222223, 0.9180773249738767, 0.8244514106583072, 0.7171717171717171, 0.8244514106583072, 0.8244514106583072, 0.6331738437001595, 0.7916935399199052, 0.8244514106583072)"
0,"(0.01, 4)","{'loss': [0.36663535237312317, 0.04909290373325348, 0.02311251126229763, 0.01867177151143551], 'accuracy': [0.8721910119056702, 0.9845505356788635, 0.9957864880561829, 0.9971910119056702], 'f1_metric': [0.776208221912384, 0.9744819402694702, 0.9913298487663269, 0.9962277412414551], 'recall_metric': [0.8085187673568726, 0.9769093990325928, 0.9898550510406494, 0.9963192939758301], 'precision_metric': [0.7951640486717224, 0.9777978658676147, 0.9946687817573547, 0.9966120719909668], 'val_loss': [0.07099881023168564, 0.03048405796289444, 0.02192256972193718, 0.01860060729086399], 'val_accuracy': [0.970588207244873, 0.9873949289321899, 0.9915966391563416, 0.9957982897758484], 'val_f1_metric': [0.9201299548149109, 0.9372106790542603, 0.9453560709953308, 0.9894737005233765], 'val_recall_metric': [0.920899510383606, 0.9356481432914734, 0.9398148059844971, 0.9861111044883728], 'val_precision_metric': [0.9297619462013245, 0.9437499642372131, 0.9541666507720947, 0.9958333373069763]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
