,Params,train_validation_results,test_results
0,"(0.001, 2)","{'loss': [0.5274350047111511, 0.17400957643985748], 'accuracy': [0.7542135119438171, 0.9339887499809265], 'f1_metric': [0.5914492607116699, 0.8768954277038574], 'val_loss': [0.21347402036190033, 0.14587631821632385], 'val_accuracy': [0.9201680421829224, 0.9495798349380493], 'val_f1_metric': [0.8398628830909729, 0.9053434133529663]}","(0.9467084639498433, 0.9071270019085552, 0.9459263549194918, 0.9467084639498433, 0.9001236858379715, 0.9467084639498433, 0.9467084639498433, 0.9035705945317893, 0.9462779716770169, 0.9467084639498433)"
1,"(0.001, 3)","{'loss': [0.3983873128890991, 0.12797994911670685, 0.08887722343206406], 'accuracy': [0.867977499961853, 0.9620786309242249, 0.9747191071510315], 'f1_metric': [0.7367714643478394, 0.9272710680961609, 0.9516143202781677], 'val_loss': [0.16861526668071747, 0.10844366997480392, 0.08823820948600769], 'val_accuracy': [0.9411764740943909, 0.9663865566253662, 0.9747899174690247], 'val_f1_metric': [0.8897519111633301, 0.9331738948822021, 0.9461475014686584]}","(0.8338557993730408, 0.8044345898004434, 0.9039575354431231, 0.8338557993730408, 0.730571016285302, 0.8338557993730408, 0.8338557993730408, 0.6639608910730889, 0.8090903482523076, 0.8338557993730408)"
2,"(0.001, 4)","{'loss': [0.511016309261322, 0.15024609863758087, 0.1107245534658432, 0.08263646066188812], 'accuracy': [0.7893258333206177, 0.9620786309242249, 0.9676966071128845, 0.9817415475845337], 'f1_metric': [0.6495144963264465, 0.9207252264022827, 0.944388747215271, 0.958650529384613], 'val_loss': [0.20721343159675598, 0.14200620353221893, 0.11176253855228424, 0.0982440784573555], 'val_accuracy': [0.9285714030265808, 0.9579831957817078, 0.970588207244873, 0.970588207244873], 'val_f1_metric': [0.8659493923187256, 0.9170843958854675, 0.9396729469299316, 0.9396729469299316]}","(0.8683385579937304, 0.8336214347450303, 0.92128057916512, 0.8683385579937304, 0.7861265718408575, 0.8683385579937304, 0.8683385579937303, 0.7463768115942028, 0.8587978737903775, 0.8683385579937304)"
3,"(0.001, 5)","{'loss': [0.5206888914108276, 0.16295267641544342, 0.10867971926927567, 0.08542048186063766, 0.07119560241699219], 'accuracy': [0.7654494643211365, 0.9522472023963928, 0.966292142868042, 0.976123571395874, 0.9817415475845337], 'f1_metric': [0.6247109174728394, 0.9109117388725281, 0.9383441805839539, 0.9584096074104309, 0.9562534689903259], 'val_loss': [0.19139821827411652, 0.128618061542511, 0.10076954960823059, 0.08863943815231323, 0.07640960067510605], 'val_accuracy': [0.9327731132507324, 0.9579831957817078, 0.9663865566253662, 0.970588207244873, 0.9789915680885315], 'val_f1_metric': [0.8575224876403809, 0.905857264995575, 0.9341816902160645, 0.9401646256446838, 0.958418607711792]}","(0.8275862068965517, 0.7788453642112177, 0.8886128661799585, 0.8275862068965517, 0.7187177901463615, 0.8275862068965517, 0.8275862068965517, 0.6512259338936873, 0.8019060479645591, 0.8275862068965517)"
4,"(0.001, 6)","{'loss': [0.5208983421325684, 0.14194490015506744, 0.09584172070026398, 0.0763436034321785, 0.0647214949131012, 0.056044235825538635], 'accuracy': [0.7794944047927856, 0.9522472023963928, 0.9733145833015442, 0.9775280952453613, 0.983146071434021, 0.9887640476226807], 'f1_metric': [0.6290210485458374, 0.9060075283050537, 0.9467116594314575, 0.9570162296295166, 0.9710264801979065, 0.9747053980827332], 'val_loss': [0.18044814467430115, 0.11877800524234772, 0.09711904078722, 0.08251394331455231, 0.07176915556192398, 0.06408801674842834], 'val_accuracy': [0.9537814855575562, 0.9579831957817078, 0.9621848464012146, 0.970588207244873, 0.9747899174690247, 0.9831932783126831], 'val_f1_metric': [0.9212062358856201, 0.9265101552009583, 0.9344467520713806, 0.9427440166473389, 0.9486783146858215, 0.9644014835357666]}","(0.8746081504702194, 0.8506467110125646, 0.9288055453224807, 0.8746081504702194, 0.797979797979798, 0.8746081504702194, 0.8746081504702196, 0.7593669568941905, 0.8647544363965062, 0.8746081504702194)"
5,"(0.001, 7)","{'loss': [0.4286342263221741, 0.14443634450435638, 0.1013159453868866, 0.08026222884654999, 0.06665755063295364, 0.056976303458213806, 0.050452664494514465], 'accuracy': [0.817415714263916, 0.9550561904907227, 0.9747191071510315, 0.9845505356788635, 0.9873595237731934, 0.9887640476226807, 0.9901685118675232], 'f1_metric': [0.6789078116416931, 0.9055715799331665, 0.9476801156997681, 0.9663673043251038, 0.9776435494422913, 0.9806793928146362, 0.973498523235321], 'val_loss': [0.18438628315925598, 0.12765046954154968, 0.10982406884431839, 0.08934511989355087, 0.07661622017621994, 0.07003898918628693, 0.07236896455287933], 'val_accuracy': [0.9327731132507324, 0.9537814855575562, 0.9579831957817078, 0.9789915680885315, 0.9789915680885315, 0.9789915680885315, 0.9831932783126831], 'val_f1_metric': [0.8541893362998962, 0.9112539291381836, 0.9171757698059082, 0.9535923004150391, 0.9535923004150391, 0.9535923004150391, 0.9633325934410095]}","(0.8307210031347962, 0.825242718446602, 0.9194692150835438, 0.8307210031347962, 0.7272727272727272, 0.8307210031347962, 0.8307210031347964, 0.6508097165991903, 0.8021937227926339, 0.8307210031347962)"
6,"(0.001, 8)","{'loss': [0.5605074167251587, 0.1826656013727188, 0.11804044991731644, 0.09476376324892044, 0.07753609120845795, 0.06612497568130493, 0.055488020181655884, 0.051421523094177246], 'accuracy': [0.766853928565979, 0.9213483333587646, 0.9634831547737122, 0.9733145833015442, 0.9803370833396912, 0.983146071434021, 0.9901685118675232, 0.9873595237731934], 'f1_metric': [0.5303735733032227, 0.8504409790039062, 0.931338906288147, 0.9520539045333862, 0.9655998945236206, 0.9704222679138184, 0.9654569029808044, 0.9773884415626526], 'val_loss': [0.2601878345012665, 0.15233998000621796, 0.11876183748245239, 0.10125184059143066, 0.09085261076688766, 0.0799652561545372, 0.07197858393192291, 0.06476107984781265], 'val_accuracy': [0.8613445162773132, 0.9453781247138977, 0.9579831957817078, 0.9579831957817078, 0.9663865566253662, 0.970588207244873, 0.9747899174690247, 0.9789915680885315], 'val_f1_metric': [0.710548996925354, 0.9027979373931885, 0.921181321144104, 0.921181321144104, 0.9356779456138611, 0.9426953792572021, 0.9486783146858215, 0.9546612501144409]}","(0.8244514106583072, 0.7941256177267655, 0.8983188137247407, 0.8244514106583072, 0.7154195011337868, 0.8244514106583072, 0.8244514106583072, 0.6384559612267315, 0.7939464733230936, 0.8244514106583072)"
7,"(0.003, 2)","{'loss': [0.2196652889251709, 0.06818754971027374], 'accuracy': [0.9241573214530945, 0.976123571395874], 'f1_metric': [0.8675078749656677, 0.9502527117729187], 'val_loss': [0.1093645691871643, 0.06861016899347305], 'val_accuracy': [0.9495798349380493, 0.970588207244873], 'val_f1_metric': [0.9067152738571167, 0.9401645660400391]}","(0.8275862068965517, 0.7978883861236802, 0.9027645782209677, 0.8275862068965517, 0.7204700061842919, 0.8275862068965517, 0.8275862068965517, 0.646519685919468, 0.800009250132248, 0.8275862068965517)"
8,"(0.003, 3)","{'loss': [0.24505765736103058, 0.054275792092084885, 0.040171097964048386], 'accuracy': [0.8904494643211365, 0.9859550595283508, 0.9887640476226807], 'f1_metric': [0.8333642482757568, 0.9760865569114685, 0.9742088913917542], 'val_loss': [0.08565779030323029, 0.06274961680173874, 0.05009328946471214], 'val_accuracy': [0.970588207244873, 0.9789915680885315, 0.9831932783126831], 'val_f1_metric': [0.9405919909477234, 0.958418607711792, 0.9644014835357666]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
9,"(0.003, 4)","{'loss': [0.47011661529541016, 0.10016671568155289, 0.06073031201958656, 0.039383936673402786], 'accuracy': [0.8216292262077332, 0.9620786309242249, 0.9803370833396912, 0.9901685118675232], 'f1_metric': [0.674486517906189, 0.9004014730453491, 0.9593312740325928, 0.9809975028038025], 'val_loss': [0.13795702159404755, 0.09592508524656296, 0.06884115189313889, 0.05914376303553581], 'val_accuracy': [0.9495798349380493, 0.9621848464012146, 0.9789915680885315, 0.9831932783126831], 'val_f1_metric': [0.9053434133529663, 0.922410249710083, 0.9535923004150391, 0.9680089950561523]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
