,Params,train_validation_results,test_results
0,"(0.0001, 2)","{'loss': [0.9495530128479004, 0.6187043190002441], 'accuracy': [0.5814606547355652, 0.8019663095474243], 'f1_metric': [0.47580286860466003, 0.6618490815162659], 'recall_metric': [0.526769757270813, 0.6537787318229675], 'precision_metric': [0.5258501172065735, 0.739555299282074], 'val_loss': [0.7284193634986877, 0.5134665966033936], 'val_accuracy': [0.7773109078407288, 0.8865545988082886], 'val_f1_metric': [0.6073054671287537, 0.7776212692260742], 'val_recall_metric': [0.5982275605201721, 0.772685170173645], 'val_precision_metric': [0.7075452208518982, 0.8365078568458557]}","(0.8401253918495298, 0.8675774134790529, 0.8504410983777858, 0.8401253918495298, 0.6810966810966811, 0.8401253918495298, 0.8401253918495298, 0.7139550264550265, 0.8138061650992686, 0.8401253918495298)"
1,"(0.0001, 3)","{'loss': [1.0189239978790283, 0.6494491100311279, 0.47482240200042725], 'accuracy': [0.425561785697937, 0.773876428604126, 0.8707864880561829], 'f1_metric': [0.28832390904426575, 0.6035630702972412, 0.7354291677474976], 'recall_metric': [0.36507391929626465, 0.5888407230377197, 0.737520694732666], 'precision_metric': [0.30681347846984863, 0.7322393655776978, 0.8097305297851562], 'val_loss': [0.749862015247345, 0.5199201703071594, 0.4048027992248535], 'val_accuracy': [0.7142857313156128, 0.8613445162773132, 0.894957959651947], 'val_f1_metric': [0.5435121655464172, 0.7487708330154419, 0.7796456813812256], 'val_recall_metric': [0.5537424683570862, 0.7409226298332214, 0.7862930297851562], 'val_precision_metric': [0.637139618396759, 0.8094373345375061, 0.8250821232795715]}","(0.8181818181818182, 0.6818664301939449, 0.8275900936802525, 0.8181818181818182, 0.6806995525482921, 0.8181818181818182, 0.8181818181818182, 0.6676875300638786, 0.8154333521852852, 0.8181818181818182)"
2,"(0.0001, 4)","{'loss': [0.8098950982093811, 0.5805759429931641, 0.46621599793434143, 0.39325961470603943], 'accuracy': [0.6643258333206177, 0.7485954761505127, 0.7963483333587646, 0.8441011309623718], 'f1_metric': [0.5206015706062317, 0.5976543426513672, 0.6362648010253906, 0.70391845703125], 'recall_metric': [0.5373138189315796, 0.6243985295295715, 0.6665672063827515, 0.7307556867599487], 'precision_metric': [0.5441309213638306, 0.6005800366401672, 0.6479766964912415, 0.7156808972358704], 'val_loss': [0.6638116240501404, 0.5109031200408936, 0.42611536383628845, 0.36548912525177], 'val_accuracy': [0.7100840210914612, 0.7647058963775635, 0.8151260614395142, 0.8529411554336548], 'val_f1_metric': [0.5795118808746338, 0.597135603427887, 0.6695801615715027, 0.7327206134796143], 'val_recall_metric': [0.601327657699585, 0.637691080570221, 0.6971502900123596, 0.7459946870803833], 'val_precision_metric': [0.5839285850524902, 0.5848680138587952, 0.6656385064125061, 0.7417590618133545]}","(0.8119122257053292, 0.6542835398999783, 0.7979640183466352, 0.8119122257053292, 0.6476439060472674, 0.8119122257053292, 0.8119122257053292, 0.6475535683984782, 0.8031837195702153, 0.8119122257053292)"
3,"(0.0001, 5)","{'loss': [0.9511023759841919, 0.6727551817893982, 0.5243815183639526, 0.43445342779159546, 0.3737744092941284], 'accuracy': [0.6432584524154663, 0.7120786309242249, 0.7823033928871155, 0.8132022619247437, 0.841292142868042], 'f1_metric': [0.27550163865089417, 0.4456724524497986, 0.5501680970191956, 0.5799239277839661, 0.6511321067810059], 'recall_metric': [0.34249749779701233, 0.4765385389328003, 0.5985863208770752, 0.6204835772514343, 0.6772412061691284], 'precision_metric': [0.2583245635032654, 0.4714241921901703, 0.5269097685813904, 0.5906087756156921, 0.6959014534950256], 'val_loss': [0.7603013515472412, 0.5677863359451294, 0.45918765664100647, 0.39148855209350586, 0.34120839834213257], 'val_accuracy': [0.6890756487846375, 0.7731092572212219, 0.8109243512153625, 0.8235294222831726, 0.8613445162773132], 'val_f1_metric': [0.3713374733924866, 0.5283440947532654, 0.6008344888687134, 0.6088132858276367, 0.7121572494506836], 'val_recall_metric': [0.4033399522304535, 0.5669053196907043, 0.6400610208511353, 0.6523715853691101, 0.7324221134185791], 'val_precision_metric': [0.4722806215286255, 0.5104286074638367, 0.6033399105072021, 0.6094257831573486, 0.7285488843917847]}","(0.7774294670846394, 0.598821630347054, 0.7708225614245486, 0.7774294670846394, 0.5903361344537815, 0.7774294670846394, 0.7774294670846394, 0.5939475918606353, 0.7736474682768809, 0.7774294670846394)"
4,"(0.0001, 6)","{'loss': [0.6717694997787476, 0.4979185461997986, 0.40305203199386597, 0.3429690897464752, 0.3022841811180115, 0.2699213922023773], 'accuracy': [0.742977499961853, 0.8160112500190735, 0.8623595237731934, 0.8904494643211365, 0.9002808928489685, 0.915730357170105], 'f1_metric': [0.5169973969459534, 0.6141547560691833, 0.7253394722938538, 0.7690775394439697, 0.7745566368103027, 0.8034166097640991], 'recall_metric': [0.5450186729431152, 0.6418375968933105, 0.7416703701019287, 0.7912291884422302, 0.7826796174049377, 0.8120184540748596], 'precision_metric': [0.5347898602485657, 0.6336362361907959, 0.7607598304748535, 0.800269603729248, 0.803446888923645, 0.8401841521263123], 'val_loss': [0.5255788564682007, 0.40799590945243835, 0.33920010924339294, 0.2930566072463989, 0.25930118560791016, 0.2337384968996048], 'val_accuracy': [0.8109243512153625, 0.8613445162773132, 0.8823529481887817, 0.894957959651947, 0.9033613204956055, 0.9117646813392639], 'val_f1_metric': [0.6068689227104187, 0.7276816368103027, 0.7620483636856079, 0.7793974876403809, 0.8023929595947266, 0.8183730244636536], 'val_recall_metric': [0.6378306746482849, 0.7402612566947937, 0.7731481194496155, 0.7891203761100769, 0.8047453761100769, 0.8203703761100769], 'val_precision_metric': [0.5998694896697998, 0.7680279612541199, 0.7842780351638794, 0.7963079214096069, 0.8246644139289856, 0.8367961645126343]}","(0.9498432601880877, 0.9079365079365079, 0.9499626809971639, 0.9498432601880877, 0.9016697588126159, 0.9498432601880877, 0.9498432601880877, 0.904046725073008, 0.9495136946261197, 0.9498432601880877)"
1,"(0.0001, 7)","{'loss': [0.7025021314620972, 0.49115750193595886, 0.3821255564689636, 0.3189135491847992, 0.277977854013443, 0.2479553073644638, 0.2243705540895462], 'accuracy': [0.6769663095474243, 0.8132022619247437, 0.8665730357170105, 0.9115168452262878, 0.9185393452644348, 0.9353932738304138, 0.9382022619247437], 'f1_metric': [0.4456779956817627, 0.6534752249717712, 0.7518729567527771, 0.8015838861465454, 0.8353835344314575, 0.8717883825302124, 0.8516396284103394], 'recall_metric': [0.46594470739364624, 0.653502345085144, 0.7592461705207825, 0.8060612082481384, 0.8429434299468994, 0.8760743141174316, 0.8547216653823853], 'precision_metric': [0.4839451313018799, 0.6949434876441956, 0.7798354029655457, 0.8291798233985901, 0.8717007040977478, 0.88783198595047, 0.8726359009742737], 'val_loss': [0.5437015295028687, 0.4083659052848816, 0.33665016293525696, 0.29348844289779663, 0.2629130482673645, 0.23947341740131378, 0.22206392884254456], 'val_accuracy': [0.819327712059021, 0.8907563090324402, 0.9075630307197571, 0.9201680421829224, 0.9201680421829224, 0.9327731132507324, 0.9327731132507324], 'val_f1_metric': [0.7178622484207153, 0.8278605341911316, 0.8480087518692017, 0.8641928434371948, 0.8641928434371948, 0.8935181498527527, 0.8913584351539612], 'val_recall_metric': [0.703066349029541, 0.8224206566810608, 0.8461475372314453, 0.8619378209114075, 0.8619378209114075, 0.8852513432502747, 0.8856646418571472], 'val_precision_metric': [0.7712016701698303, 0.865433394908905, 0.9070925712585449, 0.9118326306343079, 0.9118326306343079, 0.9161872267723083, 0.9252646565437317]}","(0.9373040752351097, 0.8855512489233419, 0.9376382104930623, 0.9373040752351097, 0.8762110904968048, 0.9373040752351097, 0.9373040752351097, 0.8792270531400966, 0.9366225977920132, 0.9373040752351097)"
2,"(0.0001, 8)","{'loss': [1.398436188697815, 0.8742168545722961, 0.615044355392456, 0.48173582553863525, 0.39862149953842163, 0.34349292516708374, 0.3034515678882599, 0.2721123993396759], 'accuracy': [0.17275281250476837, 0.5351123809814453, 0.7879213690757751, 0.8455055952072144, 0.8848314881324768, 0.9143258333206177, 0.9269663095474243, 0.9396067261695862], 'f1_metric': [0.18611286580562592, 0.46259456872940063, 0.5941945314407349, 0.6397350430488586, 0.7356738448143005, 0.8240936994552612, 0.8455173373222351, 0.8763989806175232], 'recall_metric': [0.2536388337612152, 0.49271276593208313, 0.6477059721946716, 0.683190643787384, 0.756228506565094, 0.8340180516242981, 0.8568459153175354, 0.8769637942314148], 'precision_metric': [0.27950409054756165, 0.5057169198989868, 0.5922576785087585, 0.6677085757255554, 0.8262529969215393, 0.8631081581115723, 0.8939013481140137, 0.9234424829483032], 'val_loss': [1.0729117393493652, 0.7251477241516113, 0.5533047318458557, 0.4532271921634674, 0.38956913352012634, 0.34334951639175415, 0.31025221943855286, 0.28404635190963745], 'val_accuracy': [0.32773110270500183, 0.7142857313156128, 0.8361344337463379, 0.8529411554336548, 0.8739495873451233, 0.924369752407074, 0.924369752407074, 0.924369752407074], 'val_f1_metric': [0.35761576890945435, 0.5577345490455627, 0.6652358770370483, 0.7062902450561523, 0.7576321959495544, 0.8743138313293457, 0.8743138313293457, 0.8514745235443115], 'val_recall_metric': [0.38083529472351074, 0.5966892242431641, 0.7187725305557251, 0.7442280054092407, 0.7789502143859863, 0.8759244084358215, 0.8759244084358215, 0.8587211966514587], 'val_precision_metric': [0.4631107449531555, 0.5433414578437805, 0.6830958724021912, 0.7383676767349243, 0.8476690053939819, 0.9163005948066711, 0.9163005948066711, 0.8762482404708862]}","(0.8463949843260188, 0.7301765164454675, 0.8466357164201523, 0.8463949843260188, 0.7244897959183674, 0.8463949843260188, 0.8463949843260188, 0.7206021686493315, 0.8426599599165859, 0.8463949843260188)"
3,"(0.0003, 2)","{'loss': [0.6787029504776001, 0.33375313878059387], 'accuracy': [0.6797752976417542, 0.9058988690376282], 'f1_metric': [0.5269650816917419, 0.8212265372276306], 'recall_metric': [0.535391092300415, 0.8388398289680481], 'precision_metric': [0.5663421154022217, 0.8265690803527832], 'val_loss': [0.431536465883255, 0.289655476808548], 'val_accuracy': [0.8739495873451233, 0.924369752407074], 'val_f1_metric': [0.7530173063278198, 0.867963969707489], 'val_recall_metric': [0.753810465335846, 0.8685515522956848], 'val_precision_metric': [0.7731022238731384, 0.9195210337638855]}","(0.9373040752351097, 0.9224806201550387, 0.9518845228548516, 0.9373040752351097, 0.8742830465519541, 0.9373040752351097, 0.9373040752351097, 0.8794983147523983, 0.9350654023990905, 0.9373040752351097)"
4,"(0.0003, 3)","{'loss': [0.5876633524894714, 0.29064616560935974, 0.2081260085105896], 'accuracy': [0.7991573214530945, 0.9367977380752563, 0.9564606547355652], 'f1_metric': [0.7291157841682434, 0.887908935546875, 0.9024930000305176], 'recall_metric': [0.7542513012886047, 0.895795464515686, 0.90170818567276], 'precision_metric': [0.770891010761261, 0.9161625504493713, 0.9144474267959595], 'val_loss': [0.40587174892425537, 0.2809178829193115, 0.22684386372566223], 'val_accuracy': [0.8823529481887817, 0.9201680421829224, 0.9411764740943909], 'val_f1_metric': [0.759513795375824, 0.8686350584030151, 0.9038074016571045], 'val_recall_metric': [0.7639715671539307, 0.8706183433532715, 0.9028604626655579], 'val_precision_metric': [0.8017500042915344, 0.9067385792732239, 0.9259957075119019]}","(0.8432601880877743, 0.7764141909991151, 0.8833689604219578, 0.8432601880877743, 0.7404658833230262, 0.8432601880877743, 0.8432601880877743, 0.697246769569145, 0.8285101351763142, 0.8432601880877743)"
5,"(0.0003, 4)","{'loss': [0.5377100110054016, 0.28780046105384827, 0.21450302004814148, 0.1703619509935379], 'accuracy': [0.8272472023963928, 0.9030898809432983, 0.9466292262077332, 0.9691011309623718], 'f1_metric': [0.7012863755226135, 0.7747186422348022, 0.8929126858711243, 0.9454115033149719], 'recall_metric': [0.7129753828048706, 0.7927388548851013, 0.9072248935699463, 0.9475119113922119], 'precision_metric': [0.73723965883255, 0.8352447748184204, 0.9008725881576538, 0.9549998641014099], 'val_loss': [0.3496020436286926, 0.2445198893547058, 0.20101414620876312, 0.1741129457950592], 'val_accuracy': [0.8739495873451233, 0.9285714030265808, 0.9537814855575562, 0.9579831957817078], 'val_f1_metric': [0.7676591873168945, 0.8835976123809814, 0.9276378154754639, 0.9317536950111389], 'val_recall_metric': [0.7723289728164673, 0.8808772563934326, 0.9254373908042908, 0.925595223903656], 'val_precision_metric': [0.8417640328407288, 0.8944429159164429, 0.9389992952346802, 0.9472661018371582]}","(0.8369905956112853, 0.7913056643766915, 0.893191816318347, 0.8369905956112853, 0.7338693052978768, 0.8369905956112853, 0.8369905956112853, 0.6762840366498902, 0.8154666028299333, 0.8369905956112853)"
