,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
0,"(5, (0, 1), (50, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.84,0.8220354808590103,0.8616246498599439,0.84,0.7866666666666666,0.84,0.8399999999999999,0.7796056528729797,0.8322289921299821,0.84
1,"(5, (0, 1), (50, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.84,0.8253439153439154,0.8640079365079365,0.84,0.7933333333333333,0.84,0.8399999999999999,0.783160992013451,0.8323707440100883,0.84
2,"(5, (0, 1), (50, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.7330994152046784,0.7948245614035088,0.78,0.7133333333333333,0.78,0.78,0.693033033033033,0.7647747747747747,0.78
3,"(5, (0, 1), (50, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.7029914529914528,0.7628205128205127,0.75,0.6733333333333333,0.75,0.75,0.6611268935280507,0.7360412485774106,0.75
4,"(5, (0, 1), (50, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6812324929971988,0.7609243697478992,0.75,0.68,0.75,0.75,0.6693877551020408,0.746938775510204,0.75
5,"(5, (0, 1), (50, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6858832224685883,0.7644124168514412,0.75,0.68,0.75,0.75,0.6497629354772212,0.7322201607915894,0.75
6,"(5, (0, 1), (50, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77,0.7086999022482893,0.7815249266862171,0.77,0.7133333333333333,0.77,0.7699999999999999,0.707522535225979,0.7729099426565976,0.77
7,"(5, (0, 1), (100, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,0.6934232026143792,0.7602634803921569,0.76,0.6866666666666666,0.76,0.76,0.6809929113212072,0.753318940916648,0.76
8,"(5, (0, 1), (100, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.7861952861952862,0.8396464646464646,0.83,0.7799999999999999,0.83,0.83,0.7728960279080569,0.82714676840579,0.83
9,"(5, (0, 1), (100, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8091397849462365,0.8568548387096775,0.85,0.8066666666666666,0.85,0.85,0.8021885521885522,0.8491161616161617,0.85
