S No.,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
0,"(2, (0, 1), (50, 200))",1,1,1,1,1,1,1,1,1,1,1,0.858934169,0.776654464,0.852872298,0.858934169,0.749596808,0.858934169,0.858934169,0.760827089,0.854669098,0.858934169
1,"(2, (0, 1), (50, 250))",1,1,1,1,1,1,1,1,1,1,1,0.786833856,0.637944067,0.771508185,0.786833856,0.624674112,0.786833856,0.786833856,0.629478458,0.777698164,0.786833856
2,"(2, (0, 1), (50, 300))",1,1,1,1,1,1,1,1,1,1,1,0.780564263,0.620639165,0.791393559,0.780564263,0.62166988,0.780564263,0.780564263,0.603665398,0.776397932,0.780564263
3,"(2, (0, 1), (50, 350))",1,1,1,1,1,1,1,1,1,1,1,0.777429467,0.631792634,0.777639558,0.777429467,0.628533231,0.777429467,0.777429467,0.619590709,0.771546694,0.777429467
4,"(2, (0, 1), (50, 400))",1,1,1,1,1,1,1,1,1,1,1,0.771159875,0.62431558,0.798404047,0.771159875,0.62876969,0.771159875,0.771159875,0.608512877,0.775076145,0.771159875
5,"(2, (0, 1), (50, 450))",1,1,1,1,1,1,1,1,1,1,1,0.808777429,0.69473829,0.795959802,0.808777429,0.659939733,0.808777429,0.808777429,0.672265581,0.799590572,0.808777429
6,"(2, (0, 1), (50, 500))",1,1,1,1,1,1,1,1,1,1,1,0.805642633,0.729576084,0.788149533,0.805642633,0.658569488,0.805642633,0.805642633,0.684796677,0.790571176,0.805642633
7,"(2, (0, 1), (100, 200))",1,1,1,1,1,1,1,1,1,1,1,0.789968652,0.635395405,0.787359826,0.789968652,0.636821395,0.789968652,0.789968652,0.625678447,0.782786169,0.789968652
8,"(2, (0, 1), (100, 250))",1,1,1,1,1,1,1,1,1,1,1,0.862068966,0.779025765,0.860022262,0.862068966,0.76148035,0.862068966,0.862068966,0.767620687,0.859735957,0.862068966
9,"(2, (0, 1), (100, 300))",1,1,1,1,1,1,1,1,1,1,1,0.824451411,0.732337907,0.82016137,0.824451411,0.721461312,0.824451411,0.824451411,0.726142585,0.821755073,0.824451411
10,"(2, (0, 1), (100, 350))",1,1,1,1,1,1,1,1,1,1,1,0.843260188,0.721314452,0.839930748,0.843260188,0.711990857,0.843260188,0.843260188,0.709066357,0.837710512,0.843260188
11,"(2, (0, 1), (100, 400))",1,1,1,1,1,1,1,1,1,1,1,0.868338558,0.787927254,0.868656821,0.868338558,0.759403762,0.868338558,0.868338558,0.762310754,0.862834432,0.868338558
12,"(2, (0, 1), (100, 450))",1,1,1,1,1,1,1,1,1,1,1,0.808777429,0.708119658,0.794702998,0.808777429,0.670365116,0.808777429,0.808777429,0.685899879,0.79948551,0.808777429
13,"(2, (0, 1), (100, 500))",1,1,1,1,1,1,1,1,1,1,1,0.774294671,0.636903492,0.756998782,0.774294671,0.616385948,0.774294671,0.774294671,0.624970919,0.764273921,0.774294671
14,"(2, (0, 1), (150, 200))",1,1,1,1,1,1,1,1,1,1,1,0.855799373,0.75263129,0.853783608,0.855799373,0.742706173,0.855799373,0.855799373,0.744967629,0.853421747,0.855799373
15,"(2, (0, 1), (150, 250))",1,1,1,1,1,1,1,1,1,1,1,0.818181818,0.710578238,0.813549557,0.818181818,0.699182703,0.818181818,0.818181818,0.704030502,0.815423429,0.818181818
16,"(2, (0, 1), (150, 300))",1,1,1,1,1,1,1,1,1,1,1,0.865203762,0.761453843,0.865373145,0.865203762,0.757945602,0.865203762,0.865203762,0.758264492,0.864528665,0.865203762
17,"(2, (0, 1), (150, 350))",1,1,1,1,1,1,1,1,1,1,1,0.78,0.717317362,0.78288598,0.78,0.72,0.78,0.78,0.717624357,0.78064251,0.78
18,"(2, (0, 1), (150, 400))",1,1,1,1,1,1,1,1,1,1,1,0.76,0.692271353,0.764101474,0.76,0.693333333,0.76,0.76,0.692410764,0.761732315,0.76
