,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
0,"(10, (0, 1), (50, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6476683937823834,0.6155202821869489,0.6641719439646901,0.6476683937823834,0.610471023852579,0.6476683937823834,0.6476683937823834,0.6094447456401916,0.6528462646967528,0.6476683937823834
1,"(10, (0, 1), (50, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6373056994818653,0.5831679551356101,0.614614035601983,0.6373056994818653,0.599305817750664,0.6373056994818653,0.6373056994818653,0.5867905056759546,0.6211959340594705,0.6373056994818653
2,"(10, (0, 1), (50, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6735751295336787,0.6491545893719807,0.6947792295562063,0.6735751295336787,0.6444846292947558,0.6735751295336787,0.6735751295336787,0.6384661412090686,0.6768741422531079,0.6735751295336787
3,"(10, (0, 1), (50, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6735751295336787,0.6355782892867291,0.6471736700988122,0.6735751295336787,0.6426670376037465,0.6735751295336787,0.6735751295336787,0.6292385912042789,0.6494105941969296,0.6735751295336787
4,"(10, (0, 1), (50, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6424870466321243,0.5974360147879195,0.6144281416812973,0.6424870466321243,0.5951526472322133,0.6424870466321243,0.6424870466321243,0.5857679867121252,0.6183093290067114,0.6424870466321243
5,"(10, (0, 1), (50, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6528497409326425,0.6104651162790699,0.624447523798048,0.6528497409326425,0.6180394650557399,0.6528497409326425,0.6528497409326425,0.6070682535827059,0.6307116580940143,0.6528497409326425
6,"(10, (0, 1), (50, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7098445595854922,0.6827417815780118,0.6936065470310959,0.7098445595854922,0.6735409256204917,0.7098445595854922,0.7098445595854923,0.6713072694990273,0.6949150578370499,0.7098445595854922
7,"(10, (0, 1), (100, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6683937823834197,0.6472153972153972,0.6917321230792733,0.6683937823834197,0.6452887678927463,0.6683937823834197,0.6683937823834197,0.6333697877667446,0.6688001637330171,0.6683937823834197
8,"(10, (0, 1), (100, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6683937823834197,0.639080459770115,0.685081293550116,0.6683937823834197,0.6335671561711345,0.6683937823834197,0.6683937823834197,0.6340659415172729,0.6747842003761597,0.6683937823834197
9,"(10, (0, 1), (100, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.616580310880829,0.5754643206256109,0.6298497257380761,0.616580310880829,0.5679801813617366,0.616580310880829,0.616580310880829,0.571178106458777,0.6227237621474048,0.616580310880829
10,"(10, (0, 1), (100, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6683937823834197,0.635978835978836,0.6508594456780985,0.6683937823834197,0.627634812444939,0.6683937823834197,0.6683937823834197,0.6245210727969349,0.6529092966470132,0.6683937823834197
11,"(10, (0, 1), (100, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7512953367875648,0.73884595138414,0.758291061622388,0.7512953367875648,0.7115036861872305,0.7512953367875648,0.7512953367875648,0.7124615121450565,0.7442690099425852,0.7512953367875648
12,"(10, (0, 1), (100, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6424870466321243,0.5860670194003528,0.619478027250048,0.6424870466321243,0.600176195112904,0.6424870466321243,0.6424870466321243,0.5906054729584143,0.6281554471130821,0.6424870466321243
13,"(10, (0, 1), (100, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7046632124352331,0.6727700592481477,0.707031666132167,0.7046632124352331,0.6786028919844472,0.7046632124352331,0.7046632124352331,0.6708986415882968,0.7015438465411665,0.7046632124352331
14,"(10, (0, 1), (150, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6735751295336787,0.6336111111111111,0.6501252158894646,0.6735751295336787,0.6461591452549861,0.6735751295336787,0.6735751295336787,0.6339665601185284,0.6553348544396214,0.6735751295336787
15,"(10, (0, 1), (150, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7098445595854922,0.6769547325102879,0.7105801829463315,0.7098445595854922,0.6820565811524221,0.7098445595854922,0.7098445595854923,0.6766237336055917,0.707610004439527,0.7098445595854922
16,"(10, (0, 1), (150, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.689119170984456,0.648105219099134,0.6814392364056575,0.689119170984456,0.6531711808384503,0.689119170984456,0.689119170984456,0.6497002344256572,0.6842837328338317,0.689119170984456
17,"(10, (0, 1), (150, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6994818652849741,0.6599683638589592,0.6887690071353937,0.6994818652849741,0.6692168590902767,0.6994818652849741,0.6994818652849741,0.661832409997623,0.6913210232641946,0.6994818652849741
18,"(10, (0, 1), (150, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7461139896373057,0.7190331708115565,0.7374463786274564,0.7461139896373057,0.711255953208937,0.7461139896373057,0.7461139896373058,0.712003493582441,0.7391022894022621,0.7461139896373057
19,"(10, (0, 1), (150, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7616580310880829,0.7420175662068882,0.7562404524481238,0.7616580310880829,0.7266405685935524,0.7616580310880829,0.7616580310880829,0.7286393345216875,0.7542480581493077,0.7616580310880829
20,"(10, (0, 1), (150, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6580310880829016,0.6144220400024417,0.6458810098202801,0.6580310880829016,0.621636229954494,0.6580310880829016,0.6580310880829016,0.6172546123091252,0.6510845770333017,0.6580310880829016
21,"(10, (0, 1), (200, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7461139896373057,0.7258898508898509,0.7379933681747154,0.7461139896373057,0.7188628128953626,0.7461139896373057,0.7461139896373058,0.7201887433923361,0.7399681505860339,0.7461139896373057
22,"(10, (0, 1), (200, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.689119170984456,0.6484485266975007,0.6786342926132979,0.689119170984456,0.6548456967986805,0.689119170984456,0.689119170984456,0.6500459136822774,0.6821550407513668,0.689119170984456
23,"(10, (0, 1), (200, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6839378238341969,0.6439645625692137,0.6716041519632312,0.6839378238341969,0.6465115354807941,0.6839378238341969,0.6839378238341969,0.6441959921798631,0.6767145168887607,0.6839378238341969
