,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
0,"(2, (0.5, 0.5), (100, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.6701594488950811,0.7469377684894926,0.72,0.6733333333333333,0.72,0.72,0.6691620698712897,0.7305949566587864,0.72
1,"(2, (0.5, 0.5), (100, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.6364004416635995,0.6909366948840634,0.7,0.62,0.7,0.7,0.6240217299040828,0.691825821237586,0.7
2,"(2, (0.5, 0.5), (100, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.6293048713738368,0.6869786535303777,0.69,0.6333333333333333,0.69,0.69,0.6291250670960816,0.6868438003220612,0.69
3,"(2, (0.5, 0.5), (100, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74,0.6827956989247311,0.7566619915848527,0.74,0.6866666666666666,0.74,0.74,0.681547619047619,0.7455357142857142,0.74
4,"(2, (0.5, 0.5), (150, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74,0.6770833333333334,0.7578125,0.74,0.68,0.74,0.74,0.6743032225954959,0.7453107502799553,0.74
5,"(2, (0.5, 0.5), (150, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,0.7064436885865457,0.7645266439909296,0.76,0.7066666666666667,0.76,0.76,0.7061536347250632,0.7619384583670298,0.76
6,"(2, (0.5, 0.5), (150, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.7201399300349826,0.7901049475262368,0.78,0.7200000000000001,0.78,0.78,0.7185059208868733,0.7837773998488285,0.78
7,"(2, (0.5, 0.5), (150, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77,0.728871158392435,0.7860150709219857,0.77,0.7266666666666667,0.77,0.7699999999999999,0.7227032170295753,0.7739861756587794,0.77
8,"(2, (0.5, 0.5), (150, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.6611949127477077,0.7254880212954748,0.72,0.66,0.72,0.72,0.6596864875166762,0.7220375929102345,0.72
9,"(2, (0.5, 0.5), (150, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7595048629531388,0.8196286472148541,0.8,0.7666666666666666,0.8,0.8000000000000002,0.7609601345411457,0.8075622061690174,0.8
10,"(2, (0.5, 0.5), (150, 500))",1,0.9966666666666667,0.9956140350877193,0.9967105263157894,0.9966666666666667,0.9955555555555556,0.9966666666666667,0.9966666666666667,0.9955553580159119,0.9966665185119339,0.9966666666666667,0.7,0.6557825768352085,0.7304732962627699,0.7,0.6533333333333333,0.7,0.7,0.6429358790374576,0.7056061645972423,0.7
11,"(2, (0.5, 0.5), (200, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73,0.6814888010540185,0.7554347826086957,0.73,0.6866666666666666,0.73,0.7299999999999999,0.6785277573978967,0.7376192223037417,0.73
12,"(2, (0.5, 0.5), (200, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.6214114832535885,0.7056419457735248,0.7,0.6266666666666666,0.7,0.7,0.6180453372571599,0.6982278804938903,0.7
13,"(2, (0.5, 0.5), (200, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.6375549968573225,0.7107243871778754,0.67,0.6266666666666667,0.67,0.67,0.6217443249701314,0.6813620071684587,0.67
14,"(2, (0.5, 0.5), (200, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74,0.680102327322643,0.7547575965558121,0.74,0.68,0.74,0.74,0.6768401591827781,0.7447435214489393,0.74
15,"(2, (0.5, 0.5), (200, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.6206816059757236,0.6959033613445378,0.7,0.62,0.7,0.7,0.6186805719128107,0.6966836962613406,0.7
