,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
0,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 10)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.1635068635068635,0.25020072520072517,0.26666666666666666,0.2496031746031746,0.26666666666666666,0.26666666666666666,0.18703703703703703,0.24340277777777775,0.26666666666666666
1,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 20)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.24029558404558404,0.2940927706552706,0.26666666666666666,0.2257936507936508,0.26666666666666666,0.26666666666666666,0.22959674957138496,0.2726520115549919,0.26666666666666666
2,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 30)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2833333333333333,0.24366258741258742,0.29577627233877235,0.2833333333333333,0.25912698412698415,0.2833333333333333,0.2833333333333333,0.24797603110856123,0.28184165232358005,0.2833333333333333
3,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 40)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2833333333333333,0.24366258741258742,0.29577627233877235,0.2833333333333333,0.25912698412698415,0.2833333333333333,0.2833333333333333,0.24797603110856123,0.28184165232358005,0.2833333333333333
4,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 50)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.1635068635068635,0.25020072520072517,0.26666666666666666,0.2496031746031746,0.26666666666666666,0.26666666666666666,0.18703703703703703,0.24340277777777775,0.26666666666666666
5,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 60)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.1635068635068635,0.25020072520072517,0.26666666666666666,0.2496031746031746,0.26666666666666666,0.26666666666666666,0.18703703703703703,0.24340277777777775,0.26666666666666666
6,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 70)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.1635068635068635,0.25020072520072517,0.26666666666666666,0.2496031746031746,0.26666666666666666,0.26666666666666666,0.18703703703703703,0.24340277777777775,0.26666666666666666
7,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 80)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.1635068635068635,0.25020072520072517,0.26666666666666666,0.2496031746031746,0.26666666666666666,0.26666666666666666,0.18703703703703703,0.24340277777777775,0.26666666666666666
8,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 90)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.1635068635068635,0.25020072520072517,0.26666666666666666,0.2496031746031746,0.26666666666666666,0.26666666666666666,0.18703703703703703,0.24340277777777775,0.26666666666666666
9,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 100)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.1635068635068635,0.25020072520072517,0.26666666666666666,0.2496031746031746,0.26666666666666666,0.26666666666666666,0.18703703703703703,0.24340277777777775,0.26666666666666666
10,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 15, 10)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.14859201453404353,0.24163621536809943,0.26666666666666666,0.2496031746031746,0.26666666666666666,0.26666666666666666,0.1723946168390613,0.2353742631520409,0.26666666666666666
11,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 15, 20)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.23501176762046327,0.28484609191130933,0.25,0.21626984126984128,0.25,0.25,0.22265540394195368,0.2605046567034871,0.25
12,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 15, 30)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.23837877098746665,0.286529593594811,0.26666666666666666,0.2496031746031746,0.26666666666666666,0.26666666666666666,0.2410346854791299,0.26969429747207524,0.26666666666666666
